# brand names and aliases
# format: [!]<brand-name>[,brand-alias]
# If a line is preceded by "!", the word/phrase will not be interpreted as a brand name and will not be aliased
# by an aliases.csv entry, although any trailing aliases in this file will be applied.
!HOME BASE
!HOME OF
!WORLD OF TECH
!M OF
!HOME/3RD,HOME & THIRD
!TOOLS OF
!VISIONS OF
!BEWARE OF
1.20,1 20
100% BEAST,100 BEAST
10K FORCE,10KFORCE
14/15
3.1 PHILLIP LIM,3.1
35TH & O
4F
AA SPORTS,AA
ACADEMY
AF
AJ SPORTS,AJ
ALICE + OLIVIA,A/O
ALL AROUND,AA
ALLSEASONGEAR
ALPHA
ALTER EGO,ALTEREGO,ALTER-EGO,AG
AMERICAN EAGLE,AE
AMPLIFY,AMP
ANATOMIX
AS2
ATLAS
AVIATOR NATION,AV
AYTON
B2B
BASE
BFE
BGS
BH
BL
BOH
BORDERLAND
BPS
BRAWLER
BRAZILLIONAIRE
BREAKNECK
BREATHELUX
BTS
BURLEY
C1N
CATALYST
CC
CGI
CGR
CHALLENGER
COMBINE
COMPFIT
CRESTABLE
CTG
DFO
DICK'S,DICKS,DKS
DRAFTDAY
DSG
DUCK COMMANDER,BUCK COMMANDER
DUNHAM'S
DV
DVS,DV
E24
ELEMENTAL
ELEMENTS,ELEMENT
ELEVATED,ELEVATE
ELITE
ESCAPE
EU
EVO
FAVELLA
FCSP
FIELDHOUSE,FH
FT
GARMIN
GASPARILLA
GD
GDA
GENERAL,GEN
GEOMATRIX,GEO
GFS
GGS
GK
GK
GLACIER
HARPER
HE
HEADED
HIGHLINE
HOME & AWAY,HOME/AWAY,HOME,AWAY
HUNDO
ICONIC,ICON
INFRARED
IOF
IOW
JS COLLECTIONS,JS
JUNGLE JIVE,JUNGL JIVE,JUNGL JV,JNGL JV
KURM
LIDS,LID'S
LIMITED EDITION,LE
LPGA
MATCHPLAY,MATCH PLAY
MFO
MOUNTAIN
MOUNTAIN,MTN
MPZ
N17
NA
NIKE,NK
OD
OF
OFC
ON FIELD,ONFLD
PHOTOREAL
PINNACLE
PIP
PRECISION
PRIME
PS
PTH
PULSE
R2R
RALLY
REACTOR
RECHARGE
REP
REVENANT
ROOTS OF FIGHT,ROF,ROFBL
RR
S/L
SC30
SC30,SC
SCOUT
SFA
SFC
SHELLSHOCK
SIGNATURE
SKAGGER
SLIPSTREAM,SLPSTM
SLOANE
SOAS
SOLI
SONIC
SP
SPACER
SPECIALIST,SPEC
SPFC
SPIKETOWN
SPILLIKINS
SPORTDOT
STORM,STRM
STP
TAC
TB12
TBD
TBD,TB
TECHNOCHIC,TECHNO CHIC,TECH,TCH
TG
THFC
TIPS
TL
TM
TOLUCA
TOWSON
TRX
UNDER ARMOUR,UNDERARMOUR,UNDER,UND,ARMOUR,UA
VARSITY
VELOCITY
WEBB,WEB
WITHINGS
WOODLAND
WU WEAR,WUTANG,WU
WORLDWIDE,WW
XALT,X-ALT
XY
ZIG-ZAG,ZIG ZAG,ZIGZIG
ZINGER
ZONAL
